id;Comp. Word;Frequency;Grammatical Feature;Pronunciation;English Translation;heisig_numbers;max_heisig_numbers
1;問題;238663;adjective stem for -nai negation;もんだい;question;(1744, 415);1744
2;首相;224822;general noun;しゅしょう;Prime Minister;(74, 222);222
3;写真;211918;general noun;しゃしん;photograph;(1336, 79);1336
4;現在;193742;possible to use as an adverb;げんざい;now;(275, 740);740
5;世界;183195;general noun;せかい;the world;(28, 266);266
6;政府;181556;general noun;せいふ;government;(407, 1077);1077
7;説明;174920;light-verb -suru attached;せつめい;explanation;(538, 20);538
8;交渉;170891;light-verb -suru attached;こうしょう;negotiations;(1368, 398);1368
9;代表;162696;light-verb -suru attached;だいひょう;representative;(1080, 1666);1666
10;委員;150054;general noun;いいん;committee member;(979, 59);979
11;関係;146333;light-verb -suru attached;かんけい;relation;(2173, 1493);2173
12;事件;142862;general noun;じけん;event;(1240, 1032);1240
13;発表;140557;light-verb -suru attached;はっぴょう;announcement;(1840, 1666);1840
14;経済;139962;general noun;けいざい;economics;(1460, 1868);1868
15;昨年;138391;possible to use as an adverb;さくねん;last year;(1222, 1114);1222
16;表示;136067;light-verb -suru attached;ひょうじ;indication;(1666, 1167);1666
17;情報;135096;general noun;じょうほう;news;(1657, 1625);1657
18;社会;133618;general noun;しゃかい;society;(1173, 814);1173
19;時間;133613;possible to use as an adverb;じかん;time;(171, 1747);1747
20;容疑;130370;general noun;ようぎ;suspect;(853, 1513);1513
21;大会;129583;general noun;たいかい;convention;(112, 814);814
22;監督;128290;light-verb -suru attached;かんとく;supervision;(1562, 776);1562
23;著作;127950;light-verb -suru attached;ちょさく;writing;(1347, 1224);1347
24;必要;126985;adjectival noun, na-adjective;ひつよう;necessary;(685, 1730);1730
25;会社;124229;general noun;かいしゃ;company;(814, 1173);1173
26;本文;123894;general noun;ほんぶん;text;(224, 1861);1861
27;調査;123787;light-verb -suru attached;ちょうさ;investigation;(373, 1920);1920
28;選手;122240;general noun;せんしゅ;player;(1944, 687);1944
29;以上;121572;nonselfsustaining noun;いじょう;not less than;(1105, 50);1105
30;野球;121270;general noun;やきゅう;baseball;(1722, 1005);1722
31;国際;120870;general noun;こくさい;international;(624, 1392);1392
32;企業;114671;general noun;きぎょう;enterprise;(401, 1931);1931
33;女性;114178;general noun;じょせい;woman;(102, 1679);1679
34;可能;112430;adjectival noun, na-adjective;かのう;potential;(97, 2160);2160
35;選挙;111854;light-verb -suru attached;せんきょ;election;(1944, 2088);2088
36;自分;110715;general noun;じぶん;myself;(36, 844);844
37;全国;110372;general noun;ぜんこく;countrywide;(281, 624);624
38;試合;107924;light-verb -suru attached;しあい;match;(378, 269);378
39;政治;104674;general noun;せいじ;politics;(407, 807);807
40;政権;101593;general noun;せいけん;administration;(407, 613);613
41;今年;99761;possible to use as an adverb;ことし;this year;(1711, 1114);1711
42;会議;97984;light-verb -suru attached;かいぎ;meeting;(814, 692);814
43;国民;96900;general noun;こくみん;nation;(624, 1976);1976
44;会長;96737;general noun;かいちょう;president;(814, 2070);2070
45;支援;93865;light-verb -suru attached;しえん;support;(768, 2101);2101
46;研究;92835;light-verb -suru attached;けんきゅう;study;(729, 1417);1417
47;社長;92765;general noun;しゃちょう;company president;(1173, 2070);2070
48;議員;91841;general noun;ぎいん;member of the Diet, congress or parliament;(692, 59);692
49;電話;91709;light-verb -suru attached;でんわ;telephone call;(574, 368);574
50;午後;90108;possible to use as an adverb;ごご;afternoon;(610, 1479);1479
51;事業;89625;general noun;じぎょう;project;(1240, 1931);1931
52;時代;87667;general noun;じだい;period;(171, 1080);1080
53;優勝;86887;light-verb -suru attached;ゆうしょう;overall victory;(1068, 1294);1294
54;改革;86437;light-verb -suru attached;かいかく;reform;(567, 2041);2041
55;参加;85638;light-verb -suru attached;さんか;participation;(1856, 932);1856
56;金融;83945;general noun;きんゆう;financing;(287, 1123);1123
57;共同;83899;light-verb -suru attached;きょうどう;doing together;(1934, 192);1934
58;今回;83462;possible to use as an adverb;こんかい;now;(1711, 630);1711
59;結果;82621;possible to use as an adverb;けっか;result;(1451, 1202);1451
60;五輪;81749;general noun;ごりん;the Olympics;(5, 1963);1963
61;政策;80580;general noun;せいさく;political measures;(407, 1019);1019
62;記者;78627;general noun;きしゃ;reporter;(568, 1345);1345
63;活動;78090;light-verb -suru attached;かつどう;action;(154, 1806);1806
64;午前;77769;possible to use as an adverb;ごぜん;morning;(610, 309);610
65;場合;77619;possible to use as an adverb;ばあい;case;(584, 269);584
66;制度;77296;general noun;せいど;system;(447, 1278);1278
67;方針;76485;general noun;ほうしん;objective;(529, 292);529
68;地域;76310;general noun;ちいき;area;(554, 380);554
69;女子;76079;general noun;じょし;woman;(102, 99);102
70;会見;75183;light-verb -suru attached;かいけん;interview;(814, 61);814
71;協議;74885;light-verb -suru attached;きょうぎ;conference;(937, 692);937
72;対策;74068;light-verb -suru attached;たいさく;measure;(1862, 1019);1862
73;指摘;73359;light-verb -suru attached;してき;pointing out;(711, 709);711
74;生活;73275;light-verb -suru attached;せいかつ;living;(1675, 154);1675
75;連続;72174;light-verb -suru attached;れんぞく;serial;(305, 1445);1445
76;出場;72100;light-verb -suru attached;しゅつじょう;appearance;(829, 584);829
77;決定;71642;light-verb -suru attached;けってい;decision;(1770, 408);1770
78;環境;70834;general noun;かんきょう;environment;(899, 523);899
79;最終;70731;general noun;さいしゅう;last;(884, 1452);1452
80;影響;70682;light-verb -suru attached;えいきょう;influence;(1848, 1994);1994
81;機関;70227;general noun;きかん;engine;(1482, 2173);2173
82;市場;69986;general noun;しじょう;market;(440, 584);584
83;教授;69910;general noun;きょうじゅ;professor;(1343, 795);1343
84;開発;69835;light-verb -suru attached;かいはつ;development;(1750, 1840);1840
85;報告;69746;light-verb -suru attached;ほうこく;report;(1625, 262);1625
86;販売;69232;light-verb -suru attached;はんばい;sales;(783, 345);783
87;検討;68934;light-verb -suru attached;けんとう;consideration;(1803, 364);1803
88;男性;68928;general noun;だんせい;man;(923, 1679);1679
89;予定;68923;light-verb -suru attached;よてい;plans;(1719, 408);1719
90;年度;68773;suffix;ねんど;fiscal year;(1114, 1278);1278
91;長官;67774;general noun;ちょうかん;secretary;(2070, 1363);2070
92;逮捕;67684;light-verb -suru attached;たいほ;arrest;(1244, 1978);1978
93;経営;67494;light-verb -suru attached;けいえい;management;(1460, 1111);1460
94;計画;67487;light-verb -suru attached;けいかく;plan;(359, 1254);1254
95;被害;67131;general noun;ひがい;damage;(870, 1671);1671
96;国会;67038;general noun;こっかい;National Diet;(624, 814);814
97;子供;65559;general noun;こども;child;(99, 1935);1935
98;対象;65512;general noun;たいしょう;target;(1862, 2130);2130
99;対応;64244;light-verb -suru attached;たいおう;interaction;(1862, 653);1862
100;判断;64033;light-verb -suru attached;はんだん;judgement;(1289, 1218);1289
101;担当;63654;light-verb -suru attached;たんとう;being in charge;(721, 1236);1236
102;国内;63535;general noun;こくない;internal;(624, 1095);1095
103;大学;63448;general noun;だいがく;post-secondary education institution, incl. university, college, etc.;(112, 346);346
104;教育;63417;light-verb -suru attached;きょういく;training;(1343, 821);1343
105;支持;63236;light-verb -suru attached;しじ;support;(768, 712);768
106;決勝;62746;general noun;けっしょう;decision of a contest;(1770, 1294);1770
107;実施;62343;light-verb -suru attached;じっし;enforcement;(1694, 1124);1694
108;会談;62217;light-verb -suru attached;かいだん;conversation;(814, 374);814
109;批判;62123;light-verb -suru attached;ひはん;criticism;(701, 1289);1289
110;今後;62023;possible to use as an adverb;こんご;from now on;(1711, 1479);1711
111;当時;61147;possible to use as an adverb;とうじ;at that time;(1236, 171);1236
112;高校;61031;general noun;こうこう;senior high school;(329, 1371);1371
113;男子;60526;general noun;だんし;youth;(923, 99);923
114;団体;60511;general noun;だんたい;organization;(625, 1030);1030
115;被告;60441;general noun;ひこく;defendant;(870, 262);870
116;安全;60307;adjectival noun, na-adjective;あんぜん;safety;(202, 281);281
117;中心;60275;general noun;ちゅうしん;center;(39, 639);639
118;地方;60075;general noun;ちほう;district;(554, 529);554
119;記録;59875;light-verb -suru attached;きろく;record;(568, 1226);1226
120;協力;59809;light-verb -suru attached;きょうりょく;cooperation;(937, 922);937
121;事故;59318;general noun;じこ;accident;(1240, 355);1240
122;責任;59232;general noun;せきにん;duty;(1661, 1078);1661
123;関連;59084;light-verb -suru attached;かんれん;relation;(2173, 305);2173
124;学校;59054;general noun;がっこう;school;(346, 1371);1371
125;協会;58739;general noun;きょうかい;association;(937, 814);937
126;保険;58594;general noun;ほけん;insurance;(1072, 1802);1802
127;期待;57795;light-verb -suru attached;きたい;expectation;(1902, 944);1902
128;技術;57528;general noun;ぎじゅつ;art;(769, 1644);1644
129;家族;57371;general noun;かぞく;family;(580, 1307);1307
130;病院;57224;general noun;びょういん;hospital;(1813, 1401);1813
131;組織;57210;light-verb -suru attached;そしき;organization;(1914, 1432);1914
132;理事;57001;general noun;りじ;director;(283, 1240);1240
133;死亡;56936;light-verb -suru attached;しぼう;death;(878, 524);878
134;作品;56451;general noun;さくひん;work;(1224, 23);1224
135;施設;56422;light-verb -suru attached;しせつ;institution;(1124, 765);1124
136;確認;56273;light-verb -suru attached;かくにん;confirmation;(609, 643);643
137;言葉;55907;general noun;ことば;language;(357, 243);357
138;利用;55147;light-verb -suru attached;りよう;use;(972, 1265);1265
139;年間;54381;suffix;ねんかん;year;(1114, 1747);1747
140;評価;54248;light-verb -suru attached;ひょうか;valuation;(1599, 1729);1729
141;候補;53816;general noun;こうほ;candidate;(1769, 1983);1983
142;戦争;53788;light-verb -suru attached;せんそう;war;(2079, 1238);2079
143;消費;53733;light-verb -suru attached;しょうひ;consumption;(155, 1326);1326
144;個人;53575;general noun;こじん;individual;(1047, 1023);1047
145;幹部;53544;general noun;かんぶ;management;(1783, 1988);1988
146;状況;53045;general noun;じょうきょう;state of affairs;(254, 156);254
147;捜査;52772;light-verb -suru attached;そうさ;search;(1201, 1920);1920
148;特別;52481;adjectival noun, na-adjective;とくべつ;special;(261, 94);261
149;意見;52177;light-verb -suru attached;いけん;opinion;(654, 61);654
150;映画;51917;general noun;えいが;movie;(1879, 1254);1879
151;医療;51179;general noun;いりょう;medical care;(1829, 1845);1845
152;内容;50285;general noun;ないよう;subject;(1095, 853);1095
153;資金;50209;general noun;しきん;funds;(512, 287);512
154;以来;49906;possible to use as an adverb;いらい;since;(1105, 2029);2029
155;開催;49630;light-verb -suru attached;かいさい;holding a meeting;(1750, 1062);1750
156;反対;49073;light-verb -suru attached;はんたい;opposition;(779, 1862);1862
157;判決;49056;light-verb -suru attached;はんけつ;judicial decision;(1289, 1770);1770
158;以降;48749;possible to use as an adverb;いこう;on and after;(1105, 1405);1405
159;報道;48505;light-verb -suru attached;ほうどう;information;(1625, 295);1625
160;銀行;48449;general noun;ぎんこう;bank;(1569, 938);1569
161;指導;48264;light-verb -suru attached;しどう;leadership;(711, 296);711
162;理由;47954;general noun;りゆう;reason;(283, 1186);1186
163;投票;47841;light-verb -suru attached;とうひょう;voting;(762, 1732);1732
164;合意;47582;light-verb -suru attached;ごうい;agreement;(269, 654);654
165;表明;47474;light-verb -suru attached;ひょうめい;declaration;(1666, 20);1666
166;攻撃;47303;light-verb -suru attached;こうげき;attack;(352, 766);766
167;管理;46863;light-verb -suru attached;かんり;control;(1365, 283);1365
168;過去;46813;possible to use as an adverb;かこ;the past;(1389, 812);1389
169;相手;46710;general noun;あいて;companion;(222, 687);687
170;姿勢;46677;general noun;しせい;attitude;(513, 1633);1633
171;予算;46515;general noun;よさん;estimate;(1719, 1017);1719
172;本部;46330;general noun;ほんぶ;headquarters;(224, 1988);1988
173;一部;46289;possible to use as an adverb;いちぶ;one part;(1, 1988);1988
174;仕事;46239;light-verb -suru attached;しごと;work;(1033, 1240);1240
175;拡大;45995;light-verb -suru attached;かくだい;magnification;(801, 112);801
176;民主;45932;general noun;みんしゅ;democracy;(1976, 284);1976
177;改正;45484;light-verb -suru attached;かいせい;revision;(567, 405);567
178;最大;45440;general noun;さいだい;biggest;(884, 112);884
179;与党;45435;general noun;よとう;ruling party;(1335, 860);1335
180;科学;45302;general noun;かがく;science;(1263, 346);1263
181;中央;45226;general noun;ちゅうおう;centre;(39, 1877);1877
182;人間;45183;general noun;にんげん;human being;(1023, 1747);1747
183;最高;44925;general noun;さいこう;highest;(884, 329);884
184;強化;44839;light-verb -suru attached;きょうか;strengthen;(1321, 1083);1321
185;価格;44749;general noun;かかく;price;(1729, 312);1729
186;年金;44700;general noun;ねんきん;annuity;(1114, 287);1114
187;住民;44565;general noun;じゅうみん;citizens;(1027, 1976);1976
188;文化;44533;general noun;ぶんか;culture;(1861, 1083);1861
189;内閣;44307;general noun;ないかく;cabinet;(1095, 1752);1752
190;記事;44069;general noun;きじ;article;(568, 1240);1240
191;最後;44039;general noun;さいご;last;(884, 1479);1479
192;放送;43992;light-verb -suru attached;ほうそう;broadcast;(535, 2172);2172
193;主張;43845;light-verb -suru attached;しゅちょう;claim;(284, 2071);2071
194;投資;43670;light-verb -suru attached;とうし;investment;(762, 512);762
195;自由;43325;adjectival noun, na-adjective;じゆう;freedom;(36, 1186);1186
196;取引;42377;light-verb -suru attached;とりひき;transactions;(882, 1318);1318
197;削減;42329;light-verb -suru attached;さくげん;cut;(124, 391);391
198;強調;42255;light-verb -suru attached;きょうちょう;emphasis;(1321, 373);1321
199;障害;42189;general noun;しょうがい;obstacle;(1393, 1671);1671
200;総合;42096;light-verb -suru attached;そうごう;synthesis;(1466, 269);1466
201;来年;42087;possible to use as an adverb;らいねん;next year;(2029, 1114);2029
202;人気;42064;general noun;にんき;popularity;(1023, 2030);2030
203;財政;41934;general noun;ざいせい;financial affairs;(737, 407);737
204;専門;41832;general noun;せんもん;speciality;(47, 1743);1743
205;投手;41832;general noun;とうしゅ;pitcher;(762, 687);762
206;重要;41813;adjectival noun, na-adjective;じゅうよう;important;(1805, 1730);1805
207;法案;41674;general noun;ほうあん;bill;(813, 227);813
208;首脳;41672;general noun;しゅのう;head;(74, 2084);2084
209;建設;41659;light-verb -suru attached;けんせつ;construction;(417, 765);765
210;基本;41520;general noun;きほん;foundation;(1904, 224);1904
211;安打;41445;general noun;あんだ;safe hit;(202, 705);705
212;国家;41269;general noun;こっか;state;(624, 580);624
213;同社;41121;general noun;どうしゃ;the same firm;(192, 1173);1173
214;裁判;40926;general noun;さいばん;trial;(424, 1289);1289
215;市民;40896;general noun;しみん;citizen;(440, 1976);1976
216;提出;40775;light-verb -suru attached;ていしゅつ;to present;(718, 829);829
217;保護;40729;light-verb -suru attached;ほご;care;(1072, 756);1072
218;派遣;40666;light-verb -suru attached;はけん;dispatch;(1999, 1910);1999
219;負担;40646;light-verb -suru attached;ふたん;burden;(67, 721);721
220;効果;40590;general noun;こうか;effect;(1369, 1202);1369
221;外交;40503;general noun;がいこう;diplomacy;(116, 1368);1368
222;事務;40474;general noun;じむ;business;(1240, 1313);1313
223;全体;40474;possible to use as an adverb;ぜんたい;whole;(281, 1030);1030
224;法人;40355;general noun;ほうじん;corporate body;(813, 1023);1023
225;違反;40197;light-verb -suru attached;いはん;violation;(1773, 779);1773
226;目標;40169;general noun;もくひょう;mark;(15, 1734);1734
227;予選;40148;general noun;よせん;preliminary contest;(1719, 1944);1944
228;歴史;40132;general noun;れきし;history;(402, 747);747
229;事実;40130;possible to use as an adverb;じじつ;fact;(1240, 1694);1694
230;成長;40130;light-verb -suru attached;せいちょう;growth;(386, 2070);2070
231;外相;40085;general noun;がいしょう;Foreign Minister;(116, 222);222
232;公開;39589;light-verb -suru attached;こうかい;opening to the public;(847, 1750);1750
233;患者;39528;general noun;かんじゃ;patient;(650, 1345);1345
234;一般;39274;general noun;いっぱん;general;(1, 2016);2016
235;海外;39080;general noun;かいがい;foreign;(500, 116);500
236;出身;39020;general noun;しゅっしん;person's origin;(829, 1337);1337
237;外国;38798;general noun;がいこく;foreign country;(116, 624);624
238;自宅;38781;general noun;じたく;one's home;(36, 2065);2065
239;回戦;38495;suffix;かいせん;match;(630, 2079);2079
240;使用;38494;light-verb -suru attached;しよう;use;(1065, 1265);1265
241;契約;38393;light-verb -suru attached;けいやく;contract;(1669, 1462);1669
242;議論;38228;light-verb -suru attached;ぎろん;argument;(692, 1961);1961
243;県警;38215;general noun;けんけい;prefectural police;(552, 358);552
244;職員;38190;general noun;しょくいん;staff member;(887, 59);887
245;導入;38113;light-verb -suru attached;どうにゅう;introduction;(296, 842);842
246;住宅;38045;general noun;じゅうたく;residence;(1027, 2065);2065
247;幹事;38005;general noun;かんじ;executive secretary;(1783, 1240);1783
248;生産;37922;light-verb -suru attached;せいさん;production;(1675, 1681);1681
249;地震;37897;general noun;じしん;earthquake;(554, 2166);2166
250;処分;37895;light-verb -suru attached;しょぶん;disposal;(318, 844);844
251;発言;37885;light-verb -suru attached;はつげん;utterance;(1840, 357);1840
252;就任;37839;light-verb -suru attached;しゅうにん;inauguration;(2121, 1078);2121
253;経験;37752;light-verb -suru attached;けいけん;experience;(1460, 2134);2134
254;場所;37589;general noun;ばしょ;place;(584, 1208);1208
255;提供;37542;light-verb -suru attached;ていきょう;offer;(718, 1935);1935
256;今月;37371;possible to use as an adverb;こんげつ;this month;(1711, 13);1711
257;状態;37309;general noun;じょうたい;current status;(254, 2161);2161
258;学生;37242;general noun;がくせい;student;(346, 1675);1675
259;現場;37182;general noun;げんば;actual spot;(275, 584);584
260;危機;37175;general noun;きき;crisis;(1520, 1482);1520
261;時半;36896;suffix;ときはん;about an hour;(171, 1286);1286
262;実現;36802;light-verb -suru attached;じつげん;implementation;(1694, 275);1694
263;今季;36648;possible to use as an adverb;こんき;this season;(1711, 978);1711
264;記念;36468;light-verb -suru attached;きねん;commemoration;(568, 1715);1715
265;都市;36448;general noun;とし;town;(1989, 440);1989
266;同日;36378;possible to use as an adverb;どうじつ;the same day;(192, 12);192
267;主義;36357;general noun;しゅぎ;doctrine;(284, 691);691
268;展開;36357;light-verb -suru attached;てんかい;development;(2075, 1750);2075
269;地裁;36349;general noun;ちさい;district court;(554, 424);554
270;議長;36164;general noun;ぎちょう;chairman;(692, 2070);2070
271;回復;35990;light-verb -suru attached;かいふく;restoration;(630, 940);940
272;景気;35952;general noun;けいき;condition;(336, 2030);2030
273;大手;35900;general noun;おおて;major company;(112, 687);687
274;労働;35874;light-verb -suru attached;ろうどう;manual labor;(924, 1809);1809
275;知事;35772;general noun;ちじ;prefectural governor;(1308, 1240);1308
276;地元;35750;general noun;じもと;home area;(554, 63);554
277;審議;35664;light-verb -suru attached;しんぎ;deliberation;(2059, 692);2059
278;意味;35624;light-verb -suru attached;いみ;meaning;(654, 233);654
279;課題;35432;general noun;かだい;subject;(1204, 415);1204
280;設置;35195;light-verb -suru attached;せっち;establishment;(765, 895);895
281;規模;35071;general noun;きぼ;scale;(904, 244);904
282;平和;34994;adjectival noun, na-adjective;へいわ;peace;(1596, 963);1596
283;新聞;34790;general noun;しんぶん;newspaper;(1619, 1754);1754
284;行政;34746;general noun;ぎょうせい;administration;(938, 407);938
285;平均;34690;light-verb -suru attached;へいきん;average;(1596, 172);1596
286;開始;34680;light-verb -suru attached;かいし;start;(1750, 809);1750
287;意識;34656;light-verb -suru attached;いしき;consciousness;(654, 521);654
288;産業;34584;general noun;さんぎょう;industry;(1681, 1931);1931
289;局長;34270;general noun;きょくちょう;bureau director;(1147, 2070);2070
290;発生;34270;light-verb -suru attached;はっせい;outbreak;(1840, 1675);1840
291;当選;34262;light-verb -suru attached;とうせん;being elected;(1236, 1944);1944
292;取材;34235;light-verb -suru attached;しゅざい;news coverage;(882, 738);882
293;調整;33987;light-verb -suru attached;ちょうせい;regulation;(373, 1800);1800
294;存在;33809;light-verb -suru attached;そんざい;existence;(739, 740);740
295;獲得;33772;light-verb -suru attached;かくとく;acquisition;(757, 941);941
296;商品;33656;general noun;しょうひん;commodity;(471, 23);471
297;検査;33509;light-verb -suru attached;けんさ;inspection;(1803, 1920);1920
298;少年;33443;general noun;しょうねん;boy;(111, 1114);1114
299;作業;33433;light-verb -suru attached;さぎょう;work;(1224, 1931);1931
300;基準;33274;general noun;きじゅん;standard;(1904, 606);1904
301;人物;33229;general noun;じんぶつ;character;(1023, 1129);1129
302;音楽;33201;general noun;おんがく;music;(518, 1872);1872
303;死去;33188;light-verb -suru attached;しきょ;death;(878, 812);878
304;自然;33156;adjectival noun, na-adjective;しぜん;nature;(36, 256);256
305;最近;32920;possible to use as an adverb;さいきん;most recent;(884, 1210);1210
306;登板;32869;light-verb -suru attached;とうばん;taking the plate;(1838, 781);1838
307;世紀;32655;general noun;せいき;century;(28, 1454);1454
308;運転;32585;light-verb -suru attached;うんてん;operation;(325, 449);449
309;得点;32534;light-verb -suru attached;とくてん;score;(941, 181);941
310;不安;32309;adjectival noun, na-adjective;ふあん;anxiety;(1302, 202);1302
311;医師;32234;general noun;いし;doctor;(1829, 1361);1829
312;懸念;32221;light-verb -suru attached;けねん;worry;(1495, 1715);1715
313;運動;32216;light-verb -suru attached;うんどう;exercise;(325, 1806);1806
314;練習;32092;light-verb -suru attached;れんしゅう;practice;(1443, 616);1443
315;開幕;31775;light-verb -suru attached;かいまく;raising the curtain;(1750, 437);1750
316;憲法;31773;general noun;けんぽう;constitution;(1674, 813);1674
317;理解;31677;light-verb -suru attached;りかい;understanding;(283, 1955);1955
318;地区;31676;general noun;ちく;district;(554, 1831);1831
319;連合;31674;light-verb -suru attached;れんごう;union;(305, 269);305
320;総裁;31604;general noun;そうさい;president;(1466, 424);1466
321;解決;31540;light-verb -suru attached;かいけつ;settlement;(1955, 1770);1955
322;改善;31534;light-verb -suru attached;かいぜん;betterment;(567, 1112);1112
323;維持;31363;light-verb -suru attached;いじ;maintenance;(1441, 712);1441
324;株式;31200;general noun;かぶしき;stock;(236, 377);377
325;民間;31160;general noun;みんかん;private;(1976, 1747);1976
326;措置;31150;light-verb -suru attached;そち;measure;(1272, 895);1272
327;処理;31136;light-verb -suru attached;しょり;processing;(318, 283);318
328;原因;31121;general noun;げんいん;cause;(142, 626);626
329;勝利;31108;light-verb -suru attached;しょうり;victory;(1294, 972);1294
330;予想;31108;light-verb -suru attached;よそう;expectation;(1719, 656);1719
331;市内;31053;general noun;しない;city;(440, 1095);1095
332;機構;30947;general noun;きこう;mechanism;(1482, 1959);1959
333;官房;30862;general noun;かんぼう;government secretariat;(1363, 1159);1363
334;規制;30846;light-verb -suru attached;きせい;regulation;(904, 447);904
335;訪問;30844;light-verb -suru attached;ほうもん;call;(534, 1744);1744
336;注目;30784;light-verb -suru attached;ちゅうもく;notice;(285, 15);285
337;具体;30609;general noun;ぐたい;concrete;(78, 1030);1030
338;野党;30533;general noun;やとう;opposition party;(1722, 860);1722
339;要求;30509;light-verb -suru attached;ようきゅう;demand;(1730, 1004);1730
340;公表;30313;light-verb -suru attached;こうひょう;official announcement;(847, 1666);1666
341;部長;30212;general noun;ぶちょう;of a section or department;(1988, 2070);2070
342;目的;30136;general noun;もくてき;purpose;(15, 73);73
343;紹介;30006;light-verb -suru attached;しょうかい;introduction;(1459, 265);1459
344;行動;29960;light-verb -suru attached;こうどう;action;(938, 1806);1806
345;番組;29930;general noun;ばんぐみ;program;(2058, 1914);2058
346;道路;29867;general noun;どうろ;road;(295, 1376);1376
347;保障;29847;light-verb -suru attached;ほしょう;guarantee;(1072, 1393);1393
348;体制;29699;general noun;たいせい;order;(1030, 447);1030
349;業務;29671;general noun;ぎょうむ;business;(1931, 1313);1931
350;当局;29638;general noun;とうきょく;authorities;(1236, 1147);1236
351;以下;29607;nonselfsustaining noun;いか;not exceeding;(1105, 51);1105
352;以外;29561;nonselfsustaining noun;いがい;with the exception of;(1105, 116);1105
353;警察;29534;general noun;けいさつ;police;(358, 1184);1184
354;防衛;29521;light-verb -suru attached;ぼうえい;defense;(1399, 1775);1775
355;競技;29520;light-verb -suru attached;きょうぎ;game;(465, 769);769
356;携帯;29469;light-verb -suru attached;けいたい;something carried;(742, 444);742
357;健康;29380;adjectival noun, na-adjective;けんこう;health;(1048, 1243);1243
358;受賞;29111;light-verb -suru attached;じゅしょう;winning;(794, 859);859
359;高齢;29100;general noun;こうれい;age;(329, 1505);1505
360;後半;29042;possible to use as an adverb;こうはん;second half;(1479, 1286);1479
361;都内;28998;general noun;とない;metropolitan area;(1989, 1095);1989
362;証券;28729;general noun;しょうけん;securities;(406, 1291);1291
363;提案;28693;light-verb -suru attached;ていあん;proposal;(718, 227);718
364;数字;28647;general noun;すうじ;numeral;(998, 197);998
365;程度;28636;suffix;ていど;degree;(960, 1278);1278
366;表現;28561;light-verb -suru attached;ひょうげん;expression;(1666, 275);1666
367;舞台;28553;general noun;ぶたい;stage;(1912, 805);1912
368;訴訟;28551;light-verb -suru attached;そしょう;litigation;(1221, 850);1221
369;主催;28470;light-verb -suru attached;しゅさい;sponsorship;(284, 1062);1062
370;発売;28468;light-verb -suru attached;はつばい;sale;(1840, 345);1840
371;先発;28314;light-verb -suru attached;せんぱつ;forerunner;(263, 1840);1840
372;運営;28246;light-verb -suru attached;うんえい;management;(325, 1111);1111
373;方法;28215;general noun;ほうほう;method;(529, 813);813
374;禁止;28207;light-verb -suru attached;きんし;prohibition;(1179, 396);1179
375;広場;28193;general noun;ひろば;plaza;(799, 584);799
376;挑戦;28154;light-verb -suru attached;ちょうせん;challenge;(710, 2079);2079
377;希望;28142;light-verb -suru attached;きぼう;hope;(1602, 528);1602
378;質問;28097;light-verb -suru attached;しつもん;question;(1219, 1744);1744
379;再生;28096;light-verb -suru attached;さいせい;resuscitation;(1956, 1675);1956
380;前年;28022;possible to use as an adverb;ぜんねん;the preceding year;(309, 1114);1114
381;条件;27992;general noun;じょうけん;condition;(319, 1032);1032
382;感染;27991;light-verb -suru attached;かんせん;infection;(662, 548);662
383;防止;27931;light-verb -suru attached;ぼうし;prevention;(1399, 396);1399
384;精神;27838;general noun;せいしん;mind;(1655, 1200);1655
385;戦略;27741;general noun;せんりゃく;strategy;(2079, 314);2079
386;見方;27677;general noun;みかた;viewpoint;(61, 529);529
387;安定;27606;adjectival noun, na-adjective;あんてい;stability;(202, 408);408
388;期間;27469;general noun;きかん;period;(1902, 1747);1902
389;整備;27465;light-verb -suru attached;せいび;maintenance;(1800, 1267);1800
390;総務;27340;general noun;そうむ;general affairs;(1466, 1313);1466
391;相談;27338;light-verb -suru attached;そうだん;consultation;(222, 374);374
392;自治;27246;general noun;じち;self-government;(36, 807);807
393;作家;27150;general noun;さっか;author;(1224, 580);1224
394;要請;27064;light-verb -suru attached;ようせい;appeal;(1730, 1656);1730
395;背景;27058;general noun;はいけい;background;(481, 336);481
396;確保;27050;light-verb -suru attached;かくほ;guarantee;(609, 1072);1072
397;自身;27028;general noun;じしん;by oneself;(36, 1337);1337
398;介護;27012;light-verb -suru attached;かいご;nursing;(265, 756);756
399;機能;27006;light-verb -suru attached;きのう;function;(1482, 2160);2160
400;業者;26988;general noun;ぎょうしゃ;trader;(1931, 1345);1931
401;治療;26986;light-verb -suru attached;ちりょう;medical treatment;(807, 1845);1845
402;停止;26906;light-verb -suru attached;ていし;suspension;(1051, 396);1051
403;部分;26900;general noun;ぶぶん;portion;(1988, 844);1988
404;編集;26885;light-verb -suru attached;へんしゅう;editing;(1966, 601);1966
405;年代;26795;suffix;ねんだい;age;(1114, 1080);1114
406;利益;26770;general noun;りえき;profit;(972, 2026);2026
407;推進;26738;light-verb -suru attached;すいしん;propulsion;(716, 603);716
408;将来;26645;possible to use as an adverb;しょうらい;future;(789, 2029);2029
409;出席;26588;light-verb -suru attached;しゅっせき;attendance;(829, 1277);1277
410;市長;26521;general noun;しちょう;mayor;(440, 2070);2070
411;勝負;26462;light-verb -suru attached;しょうぶ;victory or defeat;(1294, 67);1294
