id;Comp. Word;Frequency;Grammatical Feature;Pronunciation;English Translation;heisig_numbers;max_heisig_numbers
17926;帆走;25;light-verb -suru attached;はんそう;sailing;(434, 410);434
17927;悲話;25;general noun;ひわ;sad or tragic story;(1763, 368);1763
17928;病弊;25;general noun;びょうへい;evil influence;(1813, 1120);1813
17929;不貞;25;general noun;ふてい;unfaithfulness;(1302, 58);1302
17930;不定;25;adjectival noun, na-adjective;ふてい;uncertainty;(1302, 408);1302
17931;幅員;25;general noun;ふくいん;breadth, extent;(435, 59);435
17932;福引;25;general noun;ふくびき;lottery;(1171, 1318);1318
17933;併走;25;light-verb -suru attached;へいそう;running parallel;(1107, 410);1107
17934;併置;25;light-verb -suru attached;へいち;juxtaposition;(1107, 895);1107
17935;兵団;25;general noun;へいだん;army corps;(1429, 625);1429
17936;暮色;25;general noun;ぼしょく;dusk;(247, 1890);1890
17937;方正;25;adjectival noun, na-adjective;ほうせい;rectitude;(529, 405);529
17938;傍系;25;general noun;ぼうけい;collateral family;(1090, 1492);1492
17939;忙中;25;general noun;ぼうちゅう;busyness;(665, 39);665
17940;面子;25;general noun;めんこ;game of slapping cards down to overturn opponent's;(2039, 99);2039
17941;黙想;25;light-verb -suru attached;もくそう;meditation;(255, 656);656
17942;目付;25;general noun;めつけ;censor;(15, 1075);1075
17943;夜祭;25;general noun;よまつり;night festival;(1115, 1183);1183
17944;役得;25;general noun;やくとく;emoluments;(949, 941);949
17945;訳出;25;light-verb -suru attached;やくしゅつ;translation;(1154, 829);1154
17946;有生;25;general noun;ゆうせい;living thing;(83, 1675);1675
17947;遊里;25;general noun;ゆうり;red light district;(1126, 185);1126
17948;揚巻;25;general noun;あげまき;old-fashioned boys' hairstyle;(717, 1292);1292
17949;用金;25;general noun;ようきん;public money;(1265, 287);1265
17950;欲情;25;general noun;よくじょう;passion;(855, 1657);1657
17951;浴用;25;general noun;よくよう;for bath use;(852, 1265);1265
17952;落慶;25;general noun;らっけい;celebration of the completion of a temple or shrine's construction;(320, 2157);2157
17953;落涙;25;light-verb -suru attached;らくるい;shedding tears;(320, 1163);1163
17954;卵殻;25;general noun;らんかく;eggshell;(1526, 767);1526
17955;裏町;25;general noun;うらまち;back street;(426, 96);426
17956;立入;25;general noun;たていり;entering;(462, 842);842
17957;零下;25;general noun;れいか;below zero;(1504, 51);1504
17958;聾唖;25;general noun;ろうあ;deafness;(9999, 9999);9999
17959;玻璃;25;general noun;はり;quartz;(9999, 1606);9999
17960;瘢痕;25;general noun;はんこん;scar;(9999, 1822);9999
17961;蟄居;25;light-verb -suru attached;ちっきょ;keeping house;(9999, 1143);9999
17962;蟷螂;25;general noun;かまきり;praying mantis;(9999, 9999);9999
17963;阿吽;24;general noun;あうん;Om;(1391, 9999);9999
17964;悪貨;24;general noun;あっか;bad money;(1951, 1085);1951
17965;悪筆;24;general noun;あくひつ;poor handwriting;(1951, 1014);1951
17966;暗澹;24;general noun;あんたん;dark;(519, 9999);9999
17967;一角;24;possible to use as an adverb;いっかく;a cut above the rest;(1, 1953);1953
17968;下々;24;general noun;しもじも;the lower classes;(51, 9999);9999
17969;下賜;24;light-verb -suru attached;かし;grant;(51, 1131);1131
17970;下図;24;general noun;したず;rough sketch;(51, 1264);1264
17971;架設;24;light-verb -suru attached;かせつ;construction;(934, 765);934
17972;花代;24;general noun;はなだい;price of flowers;(1084, 1080);1084
17973;画餅;24;general noun;がべい;failure;(1254, 1590);1590
17974;回春;24;general noun;かいしゅん;return of spring;(630, 1690);1690
17975;快活;24;general noun;かいかつ;cheerful;(1771, 154);1771
17976;懐胎;24;light-verb -suru attached;かいたい;conception;(891, 810);891
17977;海員;24;general noun;かいいん;sailor;(500, 59);500
17978;各室;24;general noun;かくしつ;every room;(311, 816);816
17979;角笛;24;general noun;つのぶえ;horn;(1953, 1192);1953
17980;学風;24;general noun;がくふう;academic traditions;(346, 563);563
17981;楽土;24;general noun;らくど;paradise;(1872, 161);1872
17982;岩窟;24;general noun;がんくつ;cave;(832, 1420);1420
17983;奇問;24;general noun;きもん;tricky question;(133, 1744);1744
17984;貴様;24;general noun;きさま;you;(1908, 1003);1908
17985;起毛;24;general noun;きもう;nap raising;(565, 2062);2062
17986;逆子;24;general noun;さかご;breech presentation;(2109, 99);2109
17987;求心;24;general noun;きゅうしん;centripetal;(1004, 639);1004
17988;強健;24;adjectival noun, na-adjective;きょうけん;robust health;(1321, 1048);1321
17989;緊要;24;adjectival noun, na-adjective;きんよう;momentous;(1474, 1730);1730
17990;金管;24;general noun;きんかん;instrument;(287, 1365);1365
17991;銀箔;24;general noun;ぎんぱく;silver foil or leaf;(1569, 9999);9999
17992;愚挙;24;general noun;ぐきょ;foolish undertaking;(2107, 2088);2107
17993;軍門;24;general noun;ぐんもん;camp gate;(323, 1743);1743
17994;罫線;24;general noun;けいせん;ruled line;(9999, 1438);9999
17995;警世;24;general noun;けいせい;warning;(358, 28);358
17996;結願;24;general noun;けちがん;expiration of term of a vow;(1451, 143);1451
17997;血潮;24;general noun;ちしお;blood spilt from the body;(1556, 152);1556
17998;健忘;24;general noun;けんぼう;forgetfulness;(1048, 640);1048
17999;賢所;24;general noun;かしこどころ;a palace sanctuary;(915, 1208);1208
18000;減車;24;light-verb -suru attached;げんしゃ;reduction in the number of vehicles, carriages, etc.;(391, 304);391
18001;現前;24;light-verb -suru attached;げんぜん;before one's eyes;(275, 309);309
18002;孤絶;24;general noun;こぜつ;to become isolated;(2024, 1891);2024
18003;股上;24;general noun;またがみ;waist;(764, 50);764
18004;鼓吹;24;light-verb -suru attached;こすい;inspiration;(1552, 506);1552
18005;後家;24;general noun;ごけ;widow;(1479, 580);1479
18006;碁笥;24;general noun;ごけ;go-stone container;(1903, 9999);9999
18007;語弊;24;general noun;ごへい;faulty expression;(371, 1120);1120
18008;厚顔;24;adjectival noun, na-adjective;こうがん;impudence;(132, 1853);1853
18009;工船;24;general noun;こうせん;factory boat;(80, 2019);2019
18010;荒屋;24;general noun;あばらや;dilapidated house;(527, 1138);1138
18011;高祖;24;general noun;こうそ;founder of dynasty or sect;(329, 1918);1918
18012;高風;24;general noun;こうふう;noble character;(329, 563);563
18013;国憲;24;general noun;こっけん;national constitution;(624, 1674);1674
18014;混紡;24;light-verb -suru attached;こんぼう;mixed yarn;(487, 1457);1457
18015;差金;24;general noun;さしがね;carpenter's square;(593, 287);593
18016;沙汰;24;light-verb -suru attached;さた;affair;(151, 149);151
18017;祭殿;24;general noun;さいでん;shrine;(1183, 1945);1945
18018;細面;24;general noun;ほそおもて;slender face;(1463, 2039);2039
18019;細腕;24;general noun;ほそうで;thin arm;(1463, 1522);1522
